insee_code,arrondissement_num,arrondissement,life_exp,eys,mys,median_income_eur,median_income_usd_ppp,life_exp_index,education_index,income_index,hdi,source_year,methodology_version
75101,1,1er Louvre,84.2,14.0,12.0,35030.0,47466.0,0.9877,0.7889,0.9309,0.8985,2022,UN_HDR_2022_geometric_mean
75102,2,2e Bourse,84.5,14.0,12.0,34050.0,46138.0,0.9923,0.7889,0.9266,0.8985,2022,UN_HDR_2022_geometric_mean
75103,3,3e Temple,84.0,14.0,12.0,34800.0,47154.0,0.9846,0.7889,0.9299,0.8972,2022,UN_HDR_2022_geometric_mean
75104,4,4e Hôtel-de-Ville,83.8,14.0,12.0,33040.0,44770.0,0.9815,0.7889,0.9221,0.8938,2022,UN_HDR_2022_geometric_mean
75105,5,5e Panthéon,84.8,14.0,12.0,35960.0,48726.0,0.9969,0.7889,0.9349,0.9026,2022,UN_HDR_2022_geometric_mean
75106,6,6e Luxembourg,85.5,14.0,12.0,41750.0,56572.0,1.0,0.7889,0.9574,0.9107,2022,UN_HDR_2022_geometric_mean
75107,7,7e Palais-Bourbon,86.0,14.0,12.0,45380.0,61491.0,1.0,0.7889,0.97,0.9147,2022,UN_HDR_2022_geometric_mean
75108,8,8e Élysée,85.8,14.0,12.0,44100.0,59756.0,1.0,0.7889,0.9657,0.9133,2022,UN_HDR_2022_geometric_mean
75109,9,9e Opéra,84.1,14.0,12.0,37220.0,50434.0,0.9862,0.7889,0.9401,0.901,2022,UN_HDR_2022_geometric_mean
75110,10,10e Entrepôt,82.8,14.0,12.0,29470.0,39932.0,0.9662,0.7889,0.9048,0.8835,2022,UN_HDR_2022_geometric_mean
75111,11,11e Popincourt,83.5,14.0,12.0,30210.0,40935.0,0.9769,0.7889,0.9085,0.888,2022,UN_HDR_2022_geometric_mean
75112,12,12e Reuilly,85.2,14.0,12.0,29940.0,40569.0,1.0,0.7889,0.9072,0.8945,2022,UN_HDR_2022_geometric_mean
75113,13,13e Gobelins,83.9,14.0,12.0,25670.0,34783.0,0.9831,0.7889,0.8839,0.8817,2022,UN_HDR_2022_geometric_mean
75114,14,14e Observatoire,84.6,14.0,12.0,29460.0,39919.0,0.9938,0.7889,0.9047,0.8918,2022,UN_HDR_2022_geometric_mean
75115,15,15e Vaugirard,84.4,14.0,12.0,32780.0,44417.0,0.9908,0.7889,0.9209,0.8962,2022,UN_HDR_2022_geometric_mean
75116,16,16e Passy,87.1,14.0,12.0,41550.0,56301.0,1.0,0.7889,0.9567,0.9105,2022,UN_HDR_2022_geometric_mean
75117,17,17e Batignolles,84.3,14.0,12.0,33390.0,45244.0,0.9892,0.7889,0.9237,0.8966,2022,UN_HDR_2022_geometric_mean
75118,18,18e Buttes-Montmartre,82.5,14.0,12.0,24910.0,33753.0,0.9615,0.7889,0.8794,0.8738,2022,UN_HDR_2022_geometric_mean
75119,19,19e Buttes-Chaumont,82.8,14.0,12.0,22870.0,30989.0,0.9662,0.7889,0.8665,0.8708,2022,UN_HDR_2022_geometric_mean
75120,20,20e Ménilmontant,82.2,14.0,12.0,23570.0,31938.0,0.9569,0.7889,0.871,0.8696,2022,UN_HDR_2022_geometric_mean
