alcaldia_id,alcaldia_name,year,parks,transit,density,thirdspace,infrastructure,uqi
1,Álvaro Obregón,2020,34.5,18.95,87.33,17.43,37.87,39.22
2,Azcapotzalco,2020,55.79,29.08,54.62,27.94,45.34,42.55
3,Benito Juárez,2020,0.85,70.02,12.55,18.7,66.94,33.81
4,Coyoacán,2020,100.0,26.88,71.47,55.69,61.32,63.07
5,Cuajimalpa de Morelos,2020,57.34,0.0,30.08,45.85,76.63,41.98
6,Cuauhtémoc,2020,11.5,100.0,24.44,100.0,69.16,61.02
7,Gustavo A. Madero,2020,36.21,37.17,48.79,4.86,34.47,32.3
8,Iztacalco,2020,21.52,43.63,0.0,10.91,28.99,21.01
9,Iztapalapa,2020,25.87,22.96,15.04,0.0,0.0,12.77
10,La Magdalena Contreras,2020,26.11,0.98,39.84,23.32,63.91,30.83
11,Miguel Hidalgo,2020,89.36,55.56,99.58,58.14,85.58,77.64
12,Milpa Alta,2020,0.0,0.0,0.0,43.16,100.0,28.63
13,Tláhuac,2020,44.68,11.68,47.48,21.62,43.27,33.75
15,Venustiano Carranza,2020,85.86,63.32,51.05,18.1,46.67,53.0
16,Xochimilco,2020,20.98,10.54,37.59,18.18,19.67,21.39
