alcaldia_id,alcaldia_name,year,parks,transit,density,thirdspace,infrastructure,uqi
1,Álvaro Obregón,1860,39.53,0.0,4.2,50.0,4.35,19.62
2,Azcapotzalco,1860,34.8,0.0,13.2,50.0,4.93,20.59
3,Benito Juárez,1860,0.13,0.0,83.4,50.0,14.21,29.55
4,Coyoacán,1860,100.0,0.0,6.1,50.0,3.77,31.97
5,Cuajimalpa de Morelos,1860,39.57,0.0,1.8,50.0,1.16,18.51
6,Cuauhtémoc,1860,0.0,18.78,0.0,50.0,100.0,33.76
7,Gustavo A. Madero,1860,76.89,100.0,3.7,50.0,4.35,46.99
8,Iztacalco,1860,41.78,0.0,7.3,50.0,4.35,20.69
9,Iztapalapa,1860,80.31,0.0,3.3,50.0,2.61,27.24
10,La Magdalena Contreras,1860,36.75,0.0,1.1,50.0,1.16,17.8
11,Miguel Hidalgo,1860,6.24,26.68,71.0,50.0,14.21,33.63
12,Milpa Alta,1860,2.23,0.0,0.0,50.0,0.0,10.45
13,Tláhuac,1860,85.6,0.0,0.4,50.0,0.87,27.37
15,Venustiano Carranza,1860,5.6,11.77,89.0,50.0,14.21,34.12
16,Xochimilco,1860,11.05,0.0,5.0,50.0,0.87,13.38
1,Álvaro Obregón,1870,39.53,75.0,4.22,50.0,7.68,35.29
2,Azcapotzalco,1870,34.8,0.0,13.2,50.0,8.25,21.25
3,Benito Juárez,1870,0.13,12.87,83.32,50.0,20.77,33.42
4,Coyoacán,1870,100.0,100.0,6.05,50.0,5.98,52.41
5,Cuajimalpa de Morelos,1870,39.56,0.0,1.74,50.0,1.99,18.66
6,Cuauhtémoc,1870,0.0,28.07,0.0,50.0,100.0,35.61
7,Gustavo A. Madero,1870,76.9,89.91,3.67,50.0,7.68,45.63
8,Iztacalco,1870,41.78,0.0,7.33,50.0,7.68,21.36
9,Iztapalapa,1870,80.32,0.0,3.39,50.0,3.7,27.48
10,La Magdalena Contreras,1870,36.76,0.0,1.1,50.0,1.99,17.97
11,Miguel Hidalgo,1870,6.25,35.96,71.04,50.0,20.77,36.8
12,Milpa Alta,1870,2.23,0.0,0.0,50.0,0.0,10.45
13,Tláhuac,1870,85.61,0.0,0.46,50.0,1.42,27.5
15,Venustiano Carranza,1870,5.6,21.2,89.0,50.0,20.77,37.31
16,Xochimilco,1870,11.05,0.0,5.04,50.0,1.42,13.5
1,Álvaro Obregón,1880,39.53,37.46,4.25,50.0,11.74,28.6
2,Azcapotzalco,1880,34.8,40.9,13.2,50.0,12.31,30.24
3,Benito Juárez,1880,0.13,6.45,83.35,50.0,29.5,33.89
4,Coyoacán,1880,100.0,100.0,6.07,50.0,9.45,53.1
5,Cuajimalpa de Morelos,1880,39.57,0.0,1.82,50.0,2.0,18.68
6,Cuauhtémoc,1880,0.0,22.53,0.0,50.0,100.0,34.51
7,Gustavo A. Madero,1880,76.9,90.02,3.72,50.0,11.74,46.48
8,Iztacalco,1880,41.78,0.0,7.28,50.0,11.17,22.05
9,Iztapalapa,1880,80.32,0.0,3.34,50.0,5.44,27.82
10,La Magdalena Contreras,1880,36.74,0.0,1.06,50.0,2.58,18.08
11,Miguel Hidalgo,1880,6.24,24.03,70.99,50.0,29.5,36.15
12,Milpa Alta,1880,2.23,0.0,0.0,50.0,0.0,10.45
13,Tláhuac,1880,85.58,0.0,0.46,50.0,1.43,27.49
15,Venustiano Carranza,1880,5.6,15.9,89.04,50.0,29.5,38.01
16,Xochimilco,1880,11.05,0.0,5.01,50.0,2.58,13.73
1,Álvaro Obregón,1890,39.53,55.51,4.23,50.0,100.0,49.85
2,Azcapotzalco,1890,34.8,60.56,13.2,50.0,3.03,32.32
3,Benito Juárez,1890,0.13,9.48,83.37,50.0,6.82,29.96
4,Coyoacán,1890,100.0,74.01,6.1,50.0,2.27,46.48
5,Cuajimalpa de Morelos,1890,39.56,0.0,1.76,50.0,0.57,18.38
6,Cuauhtémoc,1890,0.0,25.0,0.0,50.0,15.91,18.18
7,Gustavo A. Madero,1890,76.9,100.0,3.68,50.0,2.84,46.68
8,Iztacalco,1890,41.78,0.0,7.31,50.0,2.75,20.37
9,Iztapalapa,1890,80.32,0.0,3.35,50.0,1.42,27.02
10,La Magdalena Contreras,1890,36.74,0.0,1.1,50.0,0.66,17.7
11,Miguel Hidalgo,1890,6.24,26.62,70.99,50.0,22.37,35.24
12,Milpa Alta,1890,2.23,0.0,0.0,50.0,0.0,10.45
13,Tláhuac,1890,85.59,0.0,0.44,50.0,0.38,27.28
15,Venustiano Carranza,1890,5.6,15.7,89.03,50.0,6.82,33.43
16,Xochimilco,1890,11.05,0.0,5.0,50.0,0.66,13.34
1,Álvaro Obregón,1900,39.53,33.33,4.23,50.0,100.0,45.42
2,Azcapotzalco,1900,34.8,54.53,13.21,50.0,5.74,31.66
3,Benito Juárez,1900,0.13,14.29,83.38,50.0,11.97,31.95
4,Coyoacán,1900,100.0,66.67,6.1,50.0,4.49,45.45
5,Cuajimalpa de Morelos,1900,39.56,0.0,1.79,50.0,1.25,18.52
6,Cuauhtémoc,1900,0.0,22.52,0.0,50.0,22.17,18.94
7,Gustavo A. Madero,1900,76.9,100.0,3.7,50.0,5.49,47.22
8,Iztacalco,1900,41.78,44.46,7.27,50.0,5.24,29.75
9,Iztapalapa,1900,80.32,0.0,3.33,50.0,2.87,27.3
10,La Magdalena Contreras,1900,36.75,0.0,1.1,50.0,1.5,17.87
11,Miguel Hidalgo,1900,6.25,32.01,70.99,50.0,27.1,37.27
12,Milpa Alta,1900,2.23,0.0,0.0,50.0,0.0,10.45
13,Tláhuac,1900,85.6,0.0,0.45,50.0,0.87,27.38
15,Venustiano Carranza,1900,5.6,16.45,89.03,50.0,11.97,34.61
16,Xochimilco,1900,11.05,0.0,5.0,50.0,1.5,13.51
1,Álvaro Obregón,1910,37.62,64.36,6.69,50.0,100.0,51.73
2,Azcapotzalco,1910,18.14,53.03,34.55,50.0,13.36,33.82
3,Benito Juárez,1910,0.0,30.23,52.15,50.0,24.19,31.31
4,Coyoacán,1910,95.45,100.0,9.3,50.0,9.03,52.76
5,Cuajimalpa de Morelos,1910,73.58,0.0,1.25,50.0,1.81,25.33
6,Cuauhtémoc,1910,0.19,50.13,0.0,50.0,47.3,29.52
7,Gustavo A. Madero,1910,35.18,75.48,13.3,50.0,12.1,37.21
8,Iztacalco,1910,40.54,87.37,10.73,50.0,9.93,39.71
9,Iztapalapa,1910,86.69,24.18,4.78,50.0,5.78,34.29
10,La Magdalena Contreras,1910,40.04,41.91,1.95,50.0,3.25,27.43
11,Miguel Hidalgo,1910,6.76,54.97,86.44,50.0,40.58,47.75
12,Milpa Alta,1910,4.82,0.0,0.0,50.0,0.0,10.96
13,Tláhuac,1910,100.0,0.0,1.03,50.0,1.26,30.46
15,Venustiano Carranza,1910,5.55,29.02,55.24,50.0,24.19,32.8
16,Xochimilco,1910,18.51,77.08,4.15,50.0,3.43,30.63
1,Álvaro Obregón,1920,35.16,56.32,7.84,50.0,100.0,49.86
2,Azcapotzalco,1920,14.88,41.19,44.29,50.0,24.65,35.0
3,Benito Juárez,1920,0.0,30.85,37.97,50.0,38.51,31.47
