arrondissement_num,insee_code,arrondissement,population_2022,density_raw,parks_raw,transit_raw,thirdspace_raw,pm25_raw,parks,transit,density,thirdspace,infrastructure,uqi
1,75101,1er Louvre,15475.0,8474.808324205915,3.262681744749596,45.23424878836834,71.08239095315024,9.0,23.18,100.0,0.0,100.0,50.0,54.64
2,75102,2e Bourse,20433.0,20597.782258064515,0.2473449811579308,24.47021974257329,14.682131845543973,9.0,0.0,46.8,81.61,17.79,50.0,39.24
3,75103,3e Temple,32772.0,27986.336464560205,0.8730623703161235,15.256926644696692,30.513853289393385,9.0,4.81,23.2,68.65,40.86,50.0,37.5
4,75104,4e Hôtel-de-Ville,28039.0,17513.429106808246,2.583722671992582,21.39876600449374,49.9304540104854,9.0,17.96,38.93,60.85,69.17,50.0,47.38
5,75105,5e Panthéon,55925.0,22009.0515545061,1.6639606616003575,10.728654447921324,25.033527045149757,9.0,10.89,11.59,91.11,32.87,50.0,39.29
6,75106,6e Luxembourg,40432.0,18770.659238625813,0.7867530668777206,29.679461812425803,34.62603878116344,9.0,4.15,60.15,69.31,46.86,50.0,46.09
7,75107,7e Palais-Bourbon,48196.0,11789.628180039139,8.309382521371068,18.67374885882646,31.122914764710764,9.0,61.99,31.95,22.32,41.75,50.0,41.6
8,75108,8e Élysée,35418.0,9125.9984540067,6.687644700434807,36.70450053645039,25.410808063696425,9.0,49.52,78.15,4.38,33.42,50.0,43.09
9,75109,9e Opéra,58419.0,26810.00458926113,0.3619370410311713,22.253034115613072,15.405946695424436,9.0,0.88,41.12,76.57,18.84,50.0,37.48
10,75110,10e Entrepôt,81926.0,28328.492392807748,1.0774967653736298,12.206137245807192,7.323682347484315,9.0,6.38,15.38,66.35,7.06,50.0,29.03
11,75111,11e Popincourt,139983.0,38184.12438625205,0.8225998871291514,13.573076730745877,2.8574898380517637,9.0,4.42,18.88,0.0,0.55,50.0,14.77
12,75112,12e Reuilly,139788.0,21920.652344362552,6.932447706527027,10.730534809854923,6.438320885912955,9.0,51.4,11.6,90.52,5.77,50.0,41.86
13,75113,13e Gobelins,177735.0,24871.95633921075,2.2228486229498974,9.564801530368245,3.938447688975159,9.0,15.19,8.61,89.62,2.12,50.0,33.11
14,75114,14e Observatoire,137581.0,24476.24977761964,4.280990834490227,7.99529004731758,4.361067298536862,9.0,31.01,4.59,92.28,2.74,50.0,36.12
15,75115,15e Vaugirard,228754.0,26905.904493060454,3.21923551063588,9.180167341336109,3.934357432001189,9.0,22.85,7.63,75.92,2.12,50.0,31.7
16,75116,16e Passy,159733.0,20358.52663777721,4.842956683966369,13.146938954380122,15.02507309072014,9.0,35.34,17.79,80.0,18.29,50.0,40.28
17,75117,17e Batignolles,161206.0,28436.408537660966,2.8302172375718024,6.203243055469399,2.48129722218776,9.0,19.86,0.0,65.62,0.0,50.0,27.1
18,75118,18e Buttes-Montmartre,185825.0,30945.045795170692,2.2513332436432125,7.53397013318983,4.305125790394188,9.0,15.41,3.41,48.73,2.66,50.0,24.04
19,75119,19e Buttes-Chaumont,178371.0,26285.145888594165,3.295227363192448,9.53069725459856,5.045663252434532,9.0,23.43,8.53,80.1,3.74,50.0,33.16
20,75120,20e Ménilmontant,187694.0,31365.975935828876,13.25313542254947,6.393384977676431,3.7294745703112513,9.0,100.0,0.49,45.9,1.82,50.0,39.64
