arrondissement_num,arrondissement,year,population,source,density,persons_per_dwelling,insee_code,decade_label
1,1er — Louvre,1861,89519.0,demographia.com/db-paris-arr1999.htm,49024.644030668125,,,1860
1,1er — Louvre,1872,74286.0,demographia.com/db-paris-arr1999.htm,40682.36582694414,,,1870
1,1er — Louvre,1881,75390.0,demographia.com/db-paris-arr1999.htm,41286.96604600219,,,1880
1,1er — Louvre,1891,66399.0,demographia.com/db-paris-arr1999.htm,36363.08871851041,,,1890
1,1er — Louvre,1901,63768.0,demographia.com/db-paris-arr1999.htm,34922.23439211391,,,1900
1,1er — Louvre,1911,59037.0,demographia.com/db-paris-arr1999.htm,32331.32530120482,,,1910
1,1er — Louvre,1921,52277.0,demographia.com/db-paris-arr1999.htm,28629.244249726176,,,1920
1,1er — Louvre,1931,42166.0,demographia.com/db-paris-arr1999.htm,23092.00438116101,,,1930
1,1er — Louvre,1936,38436.0,demographia.com/db-paris-arr1999.htm,21049.288061336254,,,1940
1,1er — Louvre,1946,36478.0,demographia.com/db-paris-arr1999.htm,19976.998904709748,,,1950
1,1er — Louvre,1962,33830.0,demographia.com/db-paris-arr1999.htm,18526.83461117196,,,1960
1,1er — Louvre,1968,32332.0,INSEE dossier complet (paris_population.csv),17667.8,2.05,75101,1970
1,1er — Louvre,1982,18509.0,INSEE dossier complet (paris_population.csv),10114.2,1.78,75101,1980
1,1er — Louvre,1990,18360.0,INSEE dossier complet (paris_population.csv),10032.8,1.77,75101,1990
1,1er — Louvre,1999,16888.0,INSEE dossier complet (paris_population.csv),9228.4,1.7,75101,2000
1,1er — Louvre,2011,17443.0,INSEE dossier complet (paris_population.csv),9531.7,1.7,75101,2010
1,1er — Louvre,2022,15475.0,INSEE dossier complet (paris_population.csv),8456.3,1.63,75101,2020
2,2e — Bourse,1861,81609.0,demographia.com/db-paris-arr1999.htm,82267.1370967742,,,1860
2,2e — Bourse,1872,73578.0,demographia.com/db-paris-arr1999.htm,74171.37096774194,,,1870
2,2e — Bourse,1881,76394.0,demographia.com/db-paris-arr1999.htm,77010.08064516129,,,1880
2,2e — Bourse,1891,69802.0,demographia.com/db-paris-arr1999.htm,70364.91935483871,,,1890
2,2e — Bourse,1901,64267.0,demographia.com/db-paris-arr1999.htm,64785.282258064515,,,1900
2,2e — Bourse,1911,60404.0,demographia.com/db-paris-arr1999.htm,60891.12903225807,,,1910
2,2e — Bourse,1921,53317.0,demographia.com/db-paris-arr1999.htm,53746.97580645161,,,1920
2,2e — Bourse,1931,44311.0,demographia.com/db-paris-arr1999.htm,44668.346774193546,,,1930
2,2e — Bourse,1936,41780.0,demographia.com/db-paris-arr1999.htm,42116.93548387097,,,1940
2,2e — Bourse,1946,41419.0,demographia.com/db-paris-arr1999.htm,41753.02419354839,,,1950
2,2e — Bourse,1962,40055.0,demographia.com/db-paris-arr1999.htm,40378.02419354839,,,1960
2,2e — Bourse,1968,35357.0,INSEE dossier complet (paris_population.csv),35714.1,2.0,75102,1970
2,2e — Bourse,1982,21203.0,INSEE dossier complet (paris_population.csv),21417.2,1.72,75102,1980
2,2e — Bourse,1990,20738.0,INSEE dossier complet (paris_population.csv),20947.5,1.76,75102,1990
2,2e — Bourse,1999,19585.0,INSEE dossier complet (paris_population.csv),19782.8,1.7,75102,2000
2,2e — Bourse,2011,22927.0,INSEE dossier complet (paris_population.csv),23158.6,1.7,75102,2010
2,2e — Bourse,2022,20433.0,INSEE dossier complet (paris_population.csv),20639.4,1.67,75102,2020
3,3e — Temple,1861,99116.0,demographia.com/db-paris-arr1999.htm,84642.18616567037,,,1860
3,3e — Temple,1872,89687.0,demographia.com/db-paris-arr1999.htm,76590.09393680615,,,1870
3,3e — Temple,1881,94254.0,demographia.com/db-paris-arr1999.htm,80490.17933390265,,,1880
3,3e — Temple,1891,90000.0,demographia.com/db-paris-arr1999.htm,76857.38684884713,,,1890
3,3e — Temple,1901,90230.0,demographia.com/db-paris-arr1999.htm,77053.80017079419,,,1900
3,3e — Temple,1911,86811.0,demographia.com/db-paris-arr1999.htm,74134.07344150299,,,1910
3,3e — Temple,1921,77627.0,demographia.com/db-paris-arr1999.htm,66291.20409906063,,,1920
3,3e — Temple,1931,70971.0,demographia.com/db-paris-arr1999.htm,60607.17335610589,,,1930
3,3e — Temple,1936,66233.0,demographia.com/db-paris-arr1999.htm,56561.058923996585,,,1940
3,3e — Temple,1946,64393.0,demographia.com/db-paris-arr1999.htm,54989.75234842015,,,1950
3,3e — Temple,1962,61546.0,demographia.com/db-paris-arr1999.htm,52558.49701110162,,,1960
3,3e — Temple,1968,56252.0,INSEE dossier complet (paris_population.csv),48078.6,2.11,75103,1970
3,3e — Temple,1982,36094.0,INSEE dossier complet (paris_population.csv),30849.6,1.81,75103,1980
3,3e — Temple,1990,35102.0,INSEE dossier complet (paris_population.csv),30001.7,1.78,75103,1990
3,3e — Temple,1999,34248.0,INSEE dossier complet (paris_population.csv),29271.8,1.75,75103,2000
3,3e — Temple,2011,36120.0,INSEE dossier complet (paris_population.csv),30871.8,1.71,75103,2010
3,3e — Temple,2022,32772.0,INSEE dossier complet (paris_population.csv),28010.3,1.66,75103,2020
4,4e — Hôtel-de-Ville,1861,108520.0,demographia.com/db-paris-arr1999.htm,67782.63585259212,,,1860
4,4e — Hôtel-de-Ville,1872,95003.0,demographia.com/db-paris-arr1999.htm,59339.787632729545,,,1870
4,4e — Hôtel-de-Ville,1881,103760.0,demographia.com/db-paris-arr1999.htm,64809.49406620862,,,1880
4,4e — Hôtel-de-Ville,1891,100046.0,demographia.com/db-paris-arr1999.htm,62489.6939412867,,,1890
4,4e — Hôtel-de-Ville,1901,100329.0,demographia.com/db-paris-arr1999.htm,62666.45846346034,,,1900
4,4e — Hôtel-de-Ville,1911,100377.0,demographia.com/db-paris-arr1999.htm,62696.43972517177,,,1910
4,4e — Hôtel-de-Ville,1921,91741.0,demographia.com/db-paris-arr1999.htm,57302.31105559026,,,1920
4,4e — Hôtel-de-Ville,1931,83063.0,demographia.com/db-paris-arr1999.htm,51881.94878201124,,,1930
4,4e — Hôtel-de-Ville,1936,70944.0,demographia.com/db-paris-arr1999.htm,44312.30480949407,,,1940
4,4e — Hôtel-de-Ville,1946,60082.0,demographia.com/db-paris-arr1999.htm,37527.79512804497,,,1950
4,4e — Hôtel-de-Ville,1962,60763.0,demographia.com/db-paris-arr1999.htm,37953.154278575894,,,1960
4,4e — Hôtel-de-Ville,1968,54029.0,INSEE dossier complet (paris_population.csv),33768.1,2.16,75104,1970
4,4e — Hôtel-de-Ville,1982,33990.0,INSEE dossier complet (paris_population.csv),21243.8,1.79,75104,1980
4,4e — Hôtel-de-Ville,1990,32226.0,INSEE dossier complet (paris_population.csv),20141.3,1.79,75104,1990
4,4e — Hôtel-de-Ville,1999,30675.0,INSEE dossier complet (paris_population.csv),19171.9,1.66,75104,2000
4,4e — Hôtel-de-Ville,2011,27887.0,INSEE dossier complet (paris_population.csv),17429.4,1.69,75104,2010
4,4e — Hôtel-de-Ville,2022,28039.0,INSEE dossier complet (paris_population.csv),17524.4,1.72,75104,2020
5,5e — Panthéon,1861,107754.0,demographia.com/db-paris-arr1999.htm,42406.139315230226,,,1860
5,5e — Panthéon,1872,96689.0,demographia.com/db-paris-arr1999.htm,38051.554506099965,,,1870
5,5e — Panthéon,1881,114444.0,demographia.com/db-paris-arr1999.htm,45038.96103896104,,,1880
5,5e — Panthéon,1891,117549.0,demographia.com/db-paris-arr1999.htm,46260.92089728454,,,1890
5,5e — Panthéon,1901,119198.0,demographia.com/db-paris-arr1999.htm,46909.878000787096,,,1900
5,5e — Panthéon,1911,121378.0,demographia.com/db-paris-arr1999.htm,47767.807949626134,,,1910
5,5e — Panthéon,1921,121242.0,demographia.com/db-paris-arr1999.htm,47714.28571428572,,,1920
5,5e — Panthéon,1931,117770.0,demographia.com/db-paris-arr1999.htm,46347.894529712714,,,1930
5,5e — Panthéon,1936,107120.0,demographia.com/db-paris-arr1999.htm,42156.63124754034,,,1940
5,5e — Panthéon,1946,102608.0,demographia.com/db-paris-arr1999.htm,40380.95238095238,,,1950
5,5e — Panthéon,1962,95473.0,demographia.com/db-paris-arr1999.htm,37573.00275482094,,,1960
5,5e — Panthéon,1968,83721.0,INSEE dossier complet (paris_population.csv),32961.0,2.06,75105,1970
5,5e — Panthéon,1982,62173.0,INSEE dossier complet (paris_population.csv),24477.6,1.76,75105,1980
5,5e — Panthéon,1990,61222.0,INSEE dossier complet (paris_population.csv),24103.1,1.76,75105,1990
5,5e — Panthéon,1999,58849.0,INSEE dossier complet (paris_population.csv),23168.9,1.71,75105,2000
5,5e — Panthéon,2011,60800.0,INSEE dossier complet (paris_population.csv),23937.0,1.72,75105,2010
5,5e — Panthéon,2022,55925.0,INSEE dossier complet (paris_population.csv),22017.7,1.71,75105,2020
6,6e — Luxembourg,1861,95931.0,demographia.com/db-paris-arr1999.htm,44536.21169916435,,,1860
