arrondissement_num,arrondissement,year,population,source,density,persons_per_dwelling
1,1er — Louvre,1861,89519,demographia.com/db-paris-arr1999.htm,49024.644030668125,
1,1er — Louvre,1866,81665,demographia.com/db-paris-arr1999.htm,44723.439211391014,
1,1er — Louvre,1872,74286,demographia.com/db-paris-arr1999.htm,40682.36582694414,
1,1er — Louvre,1876,71898,demographia.com/db-paris-arr1999.htm,39374.589266155526,
1,1er — Louvre,1881,75390,demographia.com/db-paris-arr1999.htm,41286.96604600219,
1,1er — Louvre,1886,68702,demographia.com/db-paris-arr1999.htm,37624.31544359255,
1,1er — Louvre,1891,66399,demographia.com/db-paris-arr1999.htm,36363.08871851041,
1,1er — Louvre,1896,65422,demographia.com/db-paris-arr1999.htm,35828.03943044907,
1,1er — Louvre,1901,63768,demographia.com/db-paris-arr1999.htm,34922.23439211391,
1,1er — Louvre,1906,60465,demographia.com/db-paris-arr1999.htm,33113.36254107338,
1,1er — Louvre,1911,59037,demographia.com/db-paris-arr1999.htm,32331.32530120482,
2,2e — Bourse,1861,81609,demographia.com/db-paris-arr1999.htm,82267.1370967742,
2,2e — Bourse,1866,79909,demographia.com/db-paris-arr1999.htm,80553.42741935483,
2,2e — Bourse,1872,73578,demographia.com/db-paris-arr1999.htm,74171.37096774194,
2,2e — Bourse,1876,77768,demographia.com/db-paris-arr1999.htm,78395.16129032258,
2,2e — Bourse,1881,76394,demographia.com/db-paris-arr1999.htm,77010.08064516129,
2,2e — Bourse,1886,67157,demographia.com/db-paris-arr1999.htm,67698.58870967742,
2,2e — Bourse,1891,69802,demographia.com/db-paris-arr1999.htm,70364.91935483871,
2,2e — Bourse,1896,67002,demographia.com/db-paris-arr1999.htm,67542.33870967742,
2,2e — Bourse,1901,64267,demographia.com/db-paris-arr1999.htm,64785.282258064515,
2,2e — Bourse,1906,61741,demographia.com/db-paris-arr1999.htm,62238.91129032258,
2,2e — Bourse,1911,60404,demographia.com/db-paris-arr1999.htm,60891.12903225807,
3,3e — Temple,1861,99116,demographia.com/db-paris-arr1999.htm,84642.18616567037,
3,3e — Temple,1866,92680,demographia.com/db-paris-arr1999.htm,79146.0290350128,
3,3e — Temple,1872,89687,demographia.com/db-paris-arr1999.htm,76590.09393680615,
3,3e — Temple,1876,90797,demographia.com/db-paris-arr1999.htm,77538.00170794193,
3,3e — Temple,1881,94254,demographia.com/db-paris-arr1999.htm,80490.17933390265,
3,3e — Temple,1886,85062,demographia.com/db-paris-arr1999.htm,72640.47822374039,
