arrondissement_num,arrondissement,year,population,source,density,persons_per_dwelling,insee_code
1,1er — Louvre,1861,89519.0,demographia.com/db-paris-arr1999.htm,49024.644030668125,,
1,1er — Louvre,1866,81665.0,demographia.com/db-paris-arr1999.htm,44723.439211391014,,
1,1er — Louvre,1872,74286.0,demographia.com/db-paris-arr1999.htm,40682.36582694414,,
1,1er — Louvre,1876,71898.0,demographia.com/db-paris-arr1999.htm,39374.589266155526,,
1,1er — Louvre,1881,75390.0,demographia.com/db-paris-arr1999.htm,41286.96604600219,,
1,1er — Louvre,1886,68702.0,demographia.com/db-paris-arr1999.htm,37624.31544359255,,
1,1er — Louvre,1891,66399.0,demographia.com/db-paris-arr1999.htm,36363.08871851041,,
1,1er — Louvre,1896,65422.0,demographia.com/db-paris-arr1999.htm,35828.03943044907,,
1,1er — Louvre,1901,63768.0,demographia.com/db-paris-arr1999.htm,34922.23439211391,,
1,1er — Louvre,1906,60465.0,demographia.com/db-paris-arr1999.htm,33113.36254107338,,
1,1er — Louvre,1911,59037.0,demographia.com/db-paris-arr1999.htm,32331.32530120482,,
1,1er — Louvre,1921,52277.0,demographia.com/db-paris-arr1999.htm,28629.244249726176,,
1,1er — Louvre,1926,46373.0,demographia.com/db-paris-arr1999.htm,25395.947426067905,,
1,1er — Louvre,1931,42166.0,demographia.com/db-paris-arr1999.htm,23092.00438116101,,
1,1er — Louvre,1936,38436.0,demographia.com/db-paris-arr1999.htm,21049.288061336254,,
1,1er — Louvre,1946,36478.0,demographia.com/db-paris-arr1999.htm,19976.998904709748,,
1,1er — Louvre,1954,38926.0,demographia.com/db-paris-arr1999.htm,21317.63417305586,,
1,1er — Louvre,1962,33830.0,demographia.com/db-paris-arr1999.htm,18526.83461117196,,
1,1er — Louvre,1968,32332.0,INSEE dossier complet (paris_population.csv),17667.8,2.05,75101
1,1er — Louvre,1975,22793.0,INSEE dossier complet (paris_population.csv),12455.2,1.91,75101
1,1er — Louvre,1982,18509.0,INSEE dossier complet (paris_population.csv),10114.2,1.78,75101
1,1er — Louvre,1990,18360.0,INSEE dossier complet (paris_population.csv),10032.8,1.77,75101
1,1er — Louvre,1999,16888.0,INSEE dossier complet (paris_population.csv),9228.4,1.7,75101
1,1er — Louvre,2006,17745.0,INSEE dossier complet (paris_population.csv),9696.7,1.72,75101
1,1er — Louvre,2011,17443.0,INSEE dossier complet (paris_population.csv),9531.7,1.7,75101
1,1er — Louvre,2016,16252.0,INSEE dossier complet (paris_population.csv),8880.9,1.73,75101
1,1er — Louvre,2022,15475.0,INSEE dossier complet (paris_population.csv),8456.3,1.63,75101
2,2e — Bourse,1861,81609.0,demographia.com/db-paris-arr1999.htm,82267.1370967742,,
2,2e — Bourse,1866,79909.0,demographia.com/db-paris-arr1999.htm,80553.42741935483,,
2,2e — Bourse,1872,73578.0,demographia.com/db-paris-arr1999.htm,74171.37096774194,,
2,2e — Bourse,1876,77768.0,demographia.com/db-paris-arr1999.htm,78395.16129032258,,
2,2e — Bourse,1881,76394.0,demographia.com/db-paris-arr1999.htm,77010.08064516129,,
2,2e — Bourse,1886,67157.0,demographia.com/db-paris-arr1999.htm,67698.58870967742,,
2,2e — Bourse,1891,69802.0,demographia.com/db-paris-arr1999.htm,70364.91935483871,,
2,2e — Bourse,1896,67002.0,demographia.com/db-paris-arr1999.htm,67542.33870967742,,
2,2e — Bourse,1901,64267.0,demographia.com/db-paris-arr1999.htm,64785.282258064515,,
2,2e — Bourse,1906,61741.0,demographia.com/db-paris-arr1999.htm,62238.91129032258,,
2,2e — Bourse,1911,60404.0,demographia.com/db-paris-arr1999.htm,60891.12903225807,,
2,2e — Bourse,1921,53317.0,demographia.com/db-paris-arr1999.htm,53746.97580645161,,
2,2e — Bourse,1926,47817.0,demographia.com/db-paris-arr1999.htm,48202.62096774194,,
2,2e — Bourse,1931,44311.0,demographia.com/db-paris-arr1999.htm,44668.346774193546,,
2,2e — Bourse,1936,41780.0,demographia.com/db-paris-arr1999.htm,42116.93548387097,,
2,2e — Bourse,1946,41419.0,demographia.com/db-paris-arr1999.htm,41753.02419354839,,
2,2e — Bourse,1954,43857.0,demographia.com/db-paris-arr1999.htm,44210.68548387097,,
2,2e — Bourse,1962,40055.0,demographia.com/db-paris-arr1999.htm,40378.02419354839,,
2,2e — Bourse,1968,35357.0,INSEE dossier complet (paris_population.csv),35714.1,2.0,75102
2,2e — Bourse,1975,26328.0,INSEE dossier complet (paris_population.csv),26593.9,1.87,75102
2,2e — Bourse,1982,21203.0,INSEE dossier complet (paris_population.csv),21417.2,1.72,75102
2,2e — Bourse,1990,20738.0,INSEE dossier complet (paris_population.csv),20947.5,1.76,75102
2,2e — Bourse,1999,19585.0,INSEE dossier complet (paris_population.csv),19782.8,1.7,75102
2,2e — Bourse,2006,21259.0,INSEE dossier complet (paris_population.csv),21473.7,1.7,75102
2,2e — Bourse,2011,22927.0,INSEE dossier complet (paris_population.csv),23158.6,1.7,75102
2,2e — Bourse,2016,20260.0,INSEE dossier complet (paris_population.csv),20464.6,1.72,75102
2,2e — Bourse,2022,20433.0,INSEE dossier complet (paris_population.csv),20639.4,1.67,75102
3,3e — Temple,1861,99116.0,demographia.com/db-paris-arr1999.htm,84642.18616567037,,
3,3e — Temple,1866,92680.0,demographia.com/db-paris-arr1999.htm,79146.0290350128,,
3,3e — Temple,1872,89687.0,demographia.com/db-paris-arr1999.htm,76590.09393680615,,
3,3e — Temple,1876,90797.0,demographia.com/db-paris-arr1999.htm,77538.00170794193,,
3,3e — Temple,1881,94254.0,demographia.com/db-paris-arr1999.htm,80490.17933390265,,
3,3e — Temple,1886,85062.0,demographia.com/db-paris-arr1999.htm,72640.47822374039,,
3,3e — Temple,1891,90000.0,demographia.com/db-paris-arr1999.htm,76857.38684884713,,
3,3e — Temple,1896,88965.0,demographia.com/db-paris-arr1999.htm,75973.52690008539,,
3,3e — Temple,1901,90230.0,demographia.com/db-paris-arr1999.htm,77053.80017079419,,
3,3e — Temple,1906,87050.0,demographia.com/db-paris-arr1999.htm,74338.17250213493,,
3,3e — Temple,1911,86811.0,demographia.com/db-paris-arr1999.htm,74134.07344150299,,
3,3e — Temple,1921,77627.0,demographia.com/db-paris-arr1999.htm,66291.20409906063,,
3,3e — Temple,1926,74389.0,demographia.com/db-paris-arr1999.htm,63526.04611443211,,
3,3e — Temple,1931,70971.0,demographia.com/db-paris-arr1999.htm,60607.17335610589,,
3,3e — Temple,1936,66233.0,demographia.com/db-paris-arr1999.htm,56561.058923996585,,
3,3e — Temple,1946,64393.0,demographia.com/db-paris-arr1999.htm,54989.75234842015,,
3,3e — Temple,1954,65312.0,demographia.com/db-paris-arr1999.htm,55774.55166524338,,
3,3e — Temple,1962,61546.0,demographia.com/db-paris-arr1999.htm,52558.49701110162,,
3,3e — Temple,1968,56252.0,INSEE dossier complet (paris_population.csv),48078.6,2.11,75103
3,3e — Temple,1975,41706.0,INSEE dossier complet (paris_population.csv),35646.2,1.91,75103
3,3e — Temple,1982,36094.0,INSEE dossier complet (paris_population.csv),30849.6,1.81,75103
3,3e — Temple,1990,35102.0,INSEE dossier complet (paris_population.csv),30001.7,1.78,75103
3,3e — Temple,1999,34248.0,INSEE dossier complet (paris_population.csv),29271.8,1.75,75103
3,3e — Temple,2006,34721.0,INSEE dossier complet (paris_population.csv),29676.1,1.74,75103
3,3e — Temple,2011,36120.0,INSEE dossier complet (paris_population.csv),30871.8,1.71,75103
3,3e — Temple,2016,34788.0,INSEE dossier complet (paris_population.csv),29733.3,1.72,75103
3,3e — Temple,2022,32772.0,INSEE dossier complet (paris_population.csv),28010.3,1.66,75103
4,4e — Hôtel-de-Ville,1861,108520.0,demographia.com/db-paris-arr1999.htm,67782.63585259212,,
4,4e — Hôtel-de-Ville,1866,98648.0,demographia.com/db-paris-arr1999.htm,61616.48969394129,,
4,4e — Hôtel-de-Ville,1872,95003.0,demographia.com/db-paris-arr1999.htm,59339.787632729545,,
4,4e — Hôtel-de-Ville,1876,98293.0,demographia.com/db-paris-arr1999.htm,61394.7532792005,,
4,4e — Hôtel-de-Ville,1881,103760.0,demographia.com/db-paris-arr1999.htm,64809.49406620862,,
4,4e — Hôtel-de-Ville,1886,95981.0,demographia.com/db-paris-arr1999.htm,59950.655840099935,,
4,4e — Hôtel-de-Ville,1891,100046.0,demographia.com/db-paris-arr1999.htm,62489.6939412867,,
4,4e — Hôtel-de-Ville,1896,98204.0,demographia.com/db-paris-arr1999.htm,61339.16302311056,,
4,4e — Hôtel-de-Ville,1901,100329.0,demographia.com/db-paris-arr1999.htm,62666.45846346034,,
4,4e — Hôtel-de-Ville,1906,97282.0,demographia.com/db-paris-arr1999.htm,60763.272954403496,,
4,4e — Hôtel-de-Ville,1911,100377.0,demographia.com/db-paris-arr1999.htm,62696.43972517177,,
4,4e — Hôtel-de-Ville,1921,91741.0,demographia.com/db-paris-arr1999.htm,57302.31105559026,,
4,4e — Hôtel-de-Ville,1926,86832.0,demographia.com/db-paris-arr1999.htm,54236.10243597752,,
4,4e — Hôtel-de-Ville,1931,83063.0,demographia.com/db-paris-arr1999.htm,51881.94878201124,,
4,4e — Hôtel-de-Ville,1936,70944.0,demographia.com/db-paris-arr1999.htm,44312.30480949407,,
4,4e — Hôtel-de-Ville,1946,60082.0,demographia.com/db-paris-arr1999.htm,37527.79512804497,,
4,4e — Hôtel-de-Ville,1954,66621.0,demographia.com/db-paris-arr1999.htm,41612.11742660837,,
4,4e — Hôtel-de-Ville,1962,60763.0,demographia.com/db-paris-arr1999.htm,37953.154278575894,,
4,4e — Hôtel-de-Ville,1968,54029.0,INSEE dossier complet (paris_population.csv),33768.1,2.16,75104
4,4e — Hôtel-de-Ville,1975,40466.0,INSEE dossier complet (paris_population.csv),25291.3,1.93,75104
4,4e — Hôtel-de-Ville,1982,33990.0,INSEE dossier complet (paris_population.csv),21243.8,1.79,75104
4,4e — Hôtel-de-Ville,1990,32226.0,INSEE dossier complet (paris_population.csv),20141.3,1.79,75104
4,4e — Hôtel-de-Ville,1999,30675.0,INSEE dossier complet (paris_population.csv),19171.9,1.66,75104
4,4e — Hôtel-de-Ville,2006,29138.0,INSEE dossier complet (paris_population.csv),18211.3,1.72,75104
4,4e — Hôtel-de-Ville,2011,27887.0,INSEE dossier complet (paris_population.csv),17429.4,1.69,75104
4,4e — Hôtel-de-Ville,2016,27487.0,INSEE dossier complet (paris_population.csv),17179.4,1.73,75104
4,4e — Hôtel-de-Ville,2022,28039.0,INSEE dossier complet (paris_population.csv),17524.4,1.72,75104
5,5e — Panthéon,1861,107754.0,demographia.com/db-paris-arr1999.htm,42406.139315230226,,
5,5e — Panthéon,1866,104083.0,demographia.com/db-paris-arr1999.htm,40961.43250688705,,
5,5e — Panthéon,1872,96689.0,demographia.com/db-paris-arr1999.htm,38051.554506099965,,
5,5e — Panthéon,1876,104373.0,demographia.com/db-paris-arr1999.htm,41075.560802833534,,
5,5e — Panthéon,1881,114444.0,demographia.com/db-paris-arr1999.htm,45038.96103896104,,
5,5e — Panthéon,1886,113349.0,demographia.com/db-paris-arr1999.htm,44608.02833530107,,
5,5e — Panthéon,1891,117549.0,demographia.com/db-paris-arr1999.htm,46260.92089728454,,
5,5e — Panthéon,1896,116588.0,demographia.com/db-paris-arr1999.htm,45882.72333726879,,
5,5e — Panthéon,1901,119198.0,demographia.com/db-paris-arr1999.htm,46909.878000787096,,
5,5e — Panthéon,1906,118787.0,demographia.com/db-paris-arr1999.htm,46748.13065722157,,
5,5e — Panthéon,1911,121378.0,demographia.com/db-paris-arr1999.htm,47767.807949626134,,
5,5e — Panthéon,1921,121242.0,demographia.com/db-paris-arr1999.htm,47714.28571428572,,
5,5e — Panthéon,1926,120478.0,demographia.com/db-paris-arr1999.htm,47413.61668634396,,
5,5e — Panthéon,1931,117770.0,demographia.com/db-paris-arr1999.htm,46347.894529712714,,
5,5e — Panthéon,1936,107120.0,demographia.com/db-paris-arr1999.htm,42156.63124754034,,
5,5e — Panthéon,1946,102608.0,demographia.com/db-paris-arr1999.htm,40380.95238095238,,
5,5e — Panthéon,1954,106443.0,demographia.com/db-paris-arr1999.htm,41890.20070838253,,
