arrondissement_num,insee_code,arrondissement,year,population,density,persons_per_dwelling
1,75101,1er — Louvre,1968,32332.0,17667.8,2.05
1,75101,1er — Louvre,1975,22793.0,12455.2,1.91
1,75101,1er — Louvre,1982,18509.0,10114.2,1.78
1,75101,1er — Louvre,1990,18360.0,10032.8,1.77
1,75101,1er — Louvre,1999,16888.0,9228.4,1.7
1,75101,1er — Louvre,2006,17745.0,9696.7,1.72
1,75101,1er — Louvre,2011,17443.0,9531.7,1.7
1,75101,1er — Louvre,2016,16252.0,8880.9,1.73
1,75101,1er — Louvre,2022,15475.0,8456.3,1.63
2,75102,2e — Bourse,1968,35357.0,35714.1,2.0
2,75102,2e — Bourse,1975,26328.0,26593.9,1.87
2,75102,2e — Bourse,1982,21203.0,21417.2,1.72
2,75102,2e — Bourse,1990,20738.0,20947.5,1.76
2,75102,2e — Bourse,1999,19585.0,19782.8,1.7
2,75102,2e — Bourse,2006,21259.0,21473.7,1.7
2,75102,2e — Bourse,2011,22927.0,23158.6,1.7
2,75102,2e — Bourse,2016,20260.0,20464.6,1.72
2,75102,2e — Bourse,2022,20433.0,20639.4,1.67
3,75103,3e — Temple,1968,56252.0,48078.6,2.11
3,75103,3e — Temple,1975,41706.0,35646.2,1.91
3,75103,3e — Temple,1982,36094.0,30849.6,1.81
3,75103,3e — Temple,1990,35102.0,30001.7,1.78
3,75103,3e — Temple,1999,34248.0,29271.8,1.75
3,75103,3e — Temple,2006,34721.0,29676.1,1.74
3,75103,3e — Temple,2011,36120.0,30871.8,1.71
3,75103,3e — Temple,2016,34788.0,29733.3,1.72
3,75103,3e — Temple,2022,32772.0,28010.3,1.66
4,75104,4e — Hôtel-de-Ville,1968,54029.0,33768.1,2.16
4,75104,4e — Hôtel-de-Ville,1975,40466.0,25291.3,1.93
4,75104,4e — Hôtel-de-Ville,1982,33990.0,21243.8,1.79
4,75104,4e — Hôtel-de-Ville,1990,32226.0,20141.3,1.79
4,75104,4e — Hôtel-de-Ville,1999,30675.0,19171.9,1.66
4,75104,4e — Hôtel-de-Ville,2006,29138.0,18211.3,1.72
4,75104,4e — Hôtel-de-Ville,2011,27887.0,17429.4,1.69
4,75104,4e — Hôtel-de-Ville,2016,27487.0,17179.4,1.73
4,75104,4e — Hôtel-de-Ville,2022,28039.0,17524.4,1.72
5,75105,5e — Panthéon,1968,83721.0,32961.0,2.06
5,75105,5e — Panthéon,1975,67668.0,26640.9,1.89
5,75105,5e — Panthéon,1982,62173.0,24477.6,1.76
5,75105,5e — Panthéon,1990,61222.0,24103.1,1.76
5,75105,5e — Panthéon,1999,58849.0,23168.9,1.71
5,75105,5e — Panthéon,2006,61475.0,24202.8,1.75
5,75105,5e — Panthéon,2011,60800.0,23937.0,1.72
5,75105,5e — Panthéon,2016,59108.0,23270.9,1.74
5,75105,5e — Panthéon,2022,55925.0,22017.7,1.71
6,75106,6e — Luxembourg,1968,70891.0,32972.6,2.16
6,75106,6e — Luxembourg,1975,56331.0,26200.5,1.98
6,75106,6e — Luxembourg,1982,48905.0,22746.5,1.86
6,75106,6e — Luxembourg,1990,47891.0,22274.9,1.82
6,75106,6e — Luxembourg,1999,44919.0,20892.6,1.75
6,75106,6e — Luxembourg,2006,45278.0,21059.5,1.74
6,75106,6e — Luxembourg,2011,43880.0,20409.3,1.76
6,75106,6e — Luxembourg,2016,40916.0,19030.7,1.72
6,75106,6e — Luxembourg,2022,40432.0,18805.6,1.71
7,75107,7e — Palais-Bourbon,1968,87811.0,21469.7,2.29
7,75107,7e — Palais-Bourbon,1975,74250.0,18154.0,2.09
