arrondissement_num,insee_code,arrondissement,libraries,museums,total_per_100k
1,75101,1er — Louvre,3,8,71.08239095315024
2,75102,2e — Bourse,1,2,14.682131845543973
3,75103,3e — Temple,1,9,30.513853289393385
4,75104,4e — Hôtel-de-Ville,4,10,49.9304540104854
5,75105,5e — Panthéon,6,8,25.033527045149754
6,75106,6e — Luxembourg,1,13,34.62603878116344
7,75107,7e — Palais-Bourbon,2,13,31.122914764710764
8,75108,8e — Élysée,2,7,25.410808063696425
9,75109,9e — Opéra,3,6,15.405946695424435
10,75110,10e — Entrepôt,4,2,7.323682347484315
11,75111,11e — Popincourt,2,2,2.8574898380517633
12,75112,12e — Reuilly,5,4,6.438320885912955
13,75113,13e — Gobelins,5,2,3.938447688975159
14,75114,14e — Observatoire,3,3,4.361067298536862
15,75115,15e — Vaugirard,4,5,3.934357432001189
16,75116,16e — Passy,4,20,15.02507309072014
17,75117,17e — Batignolles,3,1,2.48129722218776
18,75118,18e — Buttes-Montmartre,5,3,4.305125790394188
19,75119,19e — Buttes-Chaumont,7,2,5.045663252434532
20,75120,20e — Ménilmontant,7,0,3.7294745703112513
