arrondissement_num,insee_code,arrondissement,decade,stations_cumulative
1,75101,1er — Louvre,1860,0
1,75101,1er — Louvre,1870,0
1,75101,1er — Louvre,1880,0
1,75101,1er — Louvre,1890,0
1,75101,1er — Louvre,1900,6
1,75101,1er — Louvre,1910,6
1,75101,1er — Louvre,1920,6
1,75101,1er — Louvre,1930,6
1,75101,1er — Louvre,1940,6
1,75101,1er — Louvre,1950,6
1,75101,1er — Louvre,1960,6
1,75101,1er — Louvre,1970,6
1,75101,1er — Louvre,1980,7
1,75101,1er — Louvre,1990,7
1,75101,1er — Louvre,2000,7
1,75101,1er — Louvre,2010,7
1,75101,1er — Louvre,2020,7
2,75102,2e — Bourse,1860,0
2,75102,2e — Bourse,1870,0
2,75102,2e — Bourse,1880,0
2,75102,2e — Bourse,1890,0
2,75102,2e — Bourse,1900,5
2,75102,2e — Bourse,1910,5
2,75102,2e — Bourse,1920,5
2,75102,2e — Bourse,1930,5
2,75102,2e — Bourse,1940,5
2,75102,2e — Bourse,1950,5
2,75102,2e — Bourse,1960,5
2,75102,2e — Bourse,1970,5
2,75102,2e — Bourse,1980,5
2,75102,2e — Bourse,1990,5
2,75102,2e — Bourse,2000,5
2,75102,2e — Bourse,2010,5
2,75102,2e — Bourse,2020,5
3,75103,3e — Temple,1860,0
3,75103,3e — Temple,1870,0
3,75103,3e — Temple,1880,0
3,75103,3e — Temple,1890,0
3,75103,3e — Temple,1900,5
3,75103,3e — Temple,1910,5
3,75103,3e — Temple,1920,5
3,75103,3e — Temple,1930,5
3,75103,3e — Temple,1940,5
3,75103,3e — Temple,1950,5
3,75103,3e — Temple,1960,5
3,75103,3e — Temple,1970,5
3,75103,3e — Temple,1980,5
3,75103,3e — Temple,1990,5
3,75103,3e — Temple,2000,5
3,75103,3e — Temple,2010,5
3,75103,3e — Temple,2020,5
4,75104,4e — Hôtel-de-Ville,1860,0
4,75104,4e — Hôtel-de-Ville,1870,0
4,75104,4e — Hôtel-de-Ville,1880,0
4,75104,4e — Hôtel-de-Ville,1890,0
4,75104,4e — Hôtel-de-Ville,1900,6
4,75104,4e — Hôtel-de-Ville,1910,6
4,75104,4e — Hôtel-de-Ville,1920,6
4,75104,4e — Hôtel-de-Ville,1930,6
4,75104,4e — Hôtel-de-Ville,1940,6
4,75104,4e — Hôtel-de-Ville,1950,6
