insee_code,arrondissement,median_income_eur,median_income_usd_ppp,ppp_factor,source_year
75101,1er Louvre,35030.0,47466.0,0.738,2021
75102,2e Bourse,34050.0,46138.0,0.738,2021
75103,3e Temple,34800.0,47154.0,0.738,2021
75104,4e Hôtel-de-Ville,33040.0,44770.0,0.738,2021
75105,5e Panthéon,35960.0,48726.0,0.738,2021
75106,6e Luxembourg,41750.0,56572.0,0.738,2021
75107,7e Palais-Bourbon,45380.0,61491.0,0.738,2021
75108,8e Élysée,44100.0,59756.0,0.738,2021
75109,9e Opéra,37220.0,50434.0,0.738,2021
75110,10e Entrepôt,29470.0,39932.0,0.738,2021
75111,11e Popincourt,30210.0,40935.0,0.738,2021
75112,12e Reuilly,29940.0,40569.0,0.738,2021
75113,13e Gobelins,25670.0,34783.0,0.738,2021
75114,14e Observatoire,29460.0,39919.0,0.738,2021
75115,15e Vaugirard,32780.0,44417.0,0.738,2021
75116,16e Passy,41550.0,56301.0,0.738,2021
75117,17e Batignolles,33390.0,45244.0,0.738,2021
75118,18e Buttes-Montmartre,24910.0,33753.0,0.738,2021
75119,19e Buttes-Chaumont,22870.0,30989.0,0.738,2021
75120,20e Ménilmontant,23570.0,31938.0,0.738,2021
