name,year_opened,lat,lon,source,index_right,arrondissement_num,insee_code,arrondissement
Franklin D. Roosevelt,1900,48.8690339,2.3099266,overpass,8,8,75108,8e — Élysée
Tuileries,1900,48.8645194,2.3296312,overpass,18,1,75101,1er — Louvre
Châtelet,1900,48.8587782,2.3474106,overpass,18,1,75101,1er — Louvre
Saint-Paul,1900,48.8553844,2.3604068,overpass,5,4,75104,4e — Hôtel-de-Ville
La Motte-Picquet - Grenelle,1900,48.8491009,2.2981675,overpass,11,15,75115,15e — Vaugirard
Cambronne,1900,48.8475232,2.3029457,overpass,11,15,75115,15e — Vaugirard
Dupleix,1900,48.8504095,2.2936611,overpass,11,15,75115,15e — Vaugirard
Convention,1900,48.8372872,2.2966539,overpass,11,15,75115,15e — Vaugirard
Porte d'Orléans,1900,48.8236307,2.3256075,overpass,4,14,75114,14e — Observatoire
Alésia,1900,48.8280318,2.3270406,overpass,4,14,75114,14e — Observatoire
Mouton-Duvernet,1900,48.8312786,2.3298657,overpass,4,14,75114,14e — Observatoire
Saint-Jacques,1900,48.8329806,2.3368199,overpass,4,14,75114,14e — Observatoire
Glacière,1900,48.8311451,2.3434916,overpass,16,13,75113,13e — Gobelins
Place d'Italie,1900,48.8309446,2.3558932,overpass,16,13,75113,13e — Gobelins
Nationale,1900,48.8331995,2.3628272,overpass,16,13,75113,13e — Gobelins
Chevaleret,1900,48.83495,2.3681023,overpass,16,13,75113,13e — Gobelins
Quai de la Gare,1900,48.8370444,2.3728619,overpass,16,13,75113,13e — Gobelins
Stalingrad,1900,48.8842416,2.3670741,overpass,15,19,75119,19e — Buttes-Chaumont
Nation,1900,48.8476792,2.3955176,overpass,13,12,75112,12e — Reuilly
Buttes Chaumont,1900,48.8783961,2.3812008,overpass,15,19,75119,19e — Buttes-Chaumont
Bolivar,1900,48.8809263,2.3739077,overpass,15,19,75119,19e — Buttes-Chaumont
Buzenval,1900,48.8518248,2.4013274,overpass,9,20,75120,20e — Ménilmontant
Père Lachaise,1900,48.8629238,2.3874128,overpass,3,11,75111,11e — Popincourt
Alexandre Dumas,1900,48.85634,2.3944352,overpass,3,11,75111,11e — Popincourt
Belleville,1900,48.872035,2.3768798,overpass,0,10,75110,10e — Entrepôt
Blanche,1900,48.8835274,2.3335853,overpass,1,18,75118,18e — Buttes-Montmartre
Place de Clichy,1900,48.8834776,2.3272899,overpass,2,9,75109,9e — Opéra
Rome,1900,48.8823012,2.3213298,overpass,12,17,75117,17e — Batignolles
Villiers,1900,48.8811181,2.3149118,overpass,8,8,75108,8e — Élysée
Monceau,1900,48.8803157,2.3086415,overpass,8,8,75108,8e — Élysée
Porte Dauphine,1900,48.8715463,2.2774569,overpass,14,16,75116,16e — Passy
Rue Saint-Maur,1900,48.864335,2.3794817,overpass,3,11,75111,11e — Popincourt
Parmentier,1900,48.8653571,2.3739035,overpass,3,11,75111,11e — Popincourt
Arts et Métiers,1900,48.8654718,2.3561116,overpass,19,3,75103,3e — Temple
Bourse,1900,48.8686539,2.3414383,overpass,7,2,75102,2e — Bourse
Quatre Septembre,1900,48.8695929,2.3358665,overpass,7,2,75102,2e — Bourse
Opéra,1900,48.8706446,2.33233,overpass,7,2,75102,2e — Bourse
Havre - Caumartin,1900,48.8737533,2.3274302,overpass,2,9,75109,9e — Opéra
Malesherbes,1900,48.8829752,2.3089995,overpass,12,17,75117,17e — Batignolles
Wagram,1900,48.8840526,2.3037389,overpass,12,17,75117,17e — Batignolles
Pereire,1900,48.8847906,2.2983109,overpass,12,17,75117,17e — Batignolles
Vaugirard,1900,48.839587,2.3012795,overpass,11,15,75115,15e — Vaugirard
Volontaires,1900,48.8415334,2.3080102,overpass,11,15,75115,15e — Vaugirard
Falguière,1900,48.8444916,2.317965,overpass,11,15,75115,15e — Vaugirard
Duroc,1900,48.8468433,2.3166286,overpass,10,6,75106,6e — Luxembourg
Bel-Air,1900,48.8413382,2.4009129,overpass,13,12,75112,12e — Reuilly
Marx Dormoy,1900,48.8905061,2.3599967,overpass,1,18,75118,18e — Buttes-Montmartre
Jacques Bonsergent,1900,48.8711191,2.3607546,overpass,0,10,75110,10e — Entrepôt
Maraîchers,1900,48.8527267,2.4061303,overpass,9,20,75120,20e — Ménilmontant
